terms,polarity
good,O
",",O
but,O
not,O
what,O
I,O
would,O
consider,O
out,O
of,O
this,O
world,O
.,O
,
Go,O
here,O
for,O
a,O
romantic,O
dinner,O
but,O
not,O
for,O
an,O
all,O
out,O
wow,O
dining,O
experience,O
.,O
,
My,O
friend,O
from,O
Milan,O
and,O
myself,O
were,O
pleasantly,O
surprised,O
when,O
we,O
arrived,O
and,O
everyone,O
spoke,O
italian,O
.,O
,
Too,O
bad,O
the,O
food,T-NEG
was,O
n't,O
of,O
the,O
same,O
heritage,O
.,O
,
But,O
that,O
was,O
n't,O
the,O
icing,O
on,O
the,O
cake,O
",",O
a,O
tiramisu,T-NEG
that,O
resembled,O
nothing,O
I,O
have,O
ever,O
had,O
.,O
,
They,O
should,O
have,O
called,O
it,O
mascarpone,O
with,O
chocolate,O
chips-good,O
but,O
a,O
far,O
cry,O
from,O
what,O
the,O
name,O
implies,O
.,O
,
Priced,O
at,O
upper,O
intermediate,O
range,O
.,O
,
I,O
really,O
liked,O
this,O
place,T-POS
.,O
,
Everything,O
I,O
had,O
was,O
good,O
",",O
and,O
I,O
'm,O
a,O
eater,O
.,O
,
It,O
was,O
pretty,O
inexpensive,O
too,O
.,O
,
This,O
place,O
has,O
the,O
best,O
Chinese,O
style,O
BBQ,T-POS
ribs,T-POS
in,O
the,O
city,O
.,O
,
I,O
also,O
recommend,O
the,O
rice,T-POS
dishes,T-POS
or,O
the,O
different,O
varieties,O
of,O
congee,T-POS
(rice,T-POS
porridge),T-POS
.,O
,
It,O
's,O
great,O
to,O
go,O
for,O
a,O
quick,O
lunch,O
either,O
alone,O
or,O
with,O
a,O
friend,O
.,O
,
It,O
's,O
definately,O
not,O
a,O
place,T-NEG
to,O
go,O
if,O
you,O
want,O
to,O
impress,O
someone,O
.,O
,
However,O
",",O
if,O
you,O
want,O
great,O
food,T-POS
at,O
a,O
great,O
price,O
and,O
do,O
n't,O
mind,O
the,O
decor,T-NEU
",",O
you,O
ca,O
n't,O
beat,O
this,O
place,O
.,O
,
Quick,O
and,O
friendly,O
service,T-POS
.,O
,
This,O
is,O
one,O
of,O
the,O
best,O
comfort,O
food,O
places,O
in,O
the,O
city,O
.,O
,
It,O
's,O
somewhere,O
you,O
can,O
eat,O
and,O
be,O
happy,O
.,O
,
When,O
I,O
'm,O
feeling,O
stressed,O
by,O
the,O
noise,O
and,O
congestion,O
around,O
my,O
office,O
",",O
I,O
head,O
for,O
Cafe,O
St,O
Bart,O
's,O
.,O
,
When,O
you,O
're,O
sitting,O
in,O
their,O
main,T-POS
dining,T-POS
room,T-POS
which,O
has,O
a,O
spectacular,O
",",O
hand-painted,O
high,O
ceiling,T-POS
you,O
'd,O
never,O
know,O
there,O
was,O
a,O
world,O
outside,O
.,O
,
The,O
food,T-POS
is,O
wonderful,O
",",O
tasty,O
and,O
filling,O
",",O
and,O
the,O
service,T-POS
is,O
professional,O
and,O
friendly,O
.,O
,
I,O
ca,O
n't,O
wait,O
for,O
summer,O
",",O
when,O
they,O
serve,O
outside,O
on,O
their,O
gigantic,O
patio,T-POS
.,O
,
Ahhh,O
.,O
,
This,O
little,O
place,T-POS
definitely,O
exceeded,O
my,O
expectations,O
and,O
you,O
sure,O
get,O
a,O
lot,O
of,O
food,T-POS
for,O
your,O
money,O
.,O
,
The,O
service,T-POS
was,O
fast,O
and,O
friendly,O
and,O
the,O
food,T-POS
was,O
very,O
tasty,O
and,O
they,O
had,O
the,O
best,O
hot,T-POS
sauce,T-POS
to,O
add,O
to,O
your,O
meals,O
.,O
,
I,O
have,O
to,O
say,O
that,O
I,O
am,O
pleasantly,O
suprised,O
and,O
I,O
will,O
most,O
likely,O
stop,O
in,O
again,O
if,O
I,O
am,O
in,O
the,O
neighborhood,O
.,O
,
They,O
all,O
know,O
you,O
.,O
,
Good,O
drink,T-POS
.,O
,
How,O
do,O
you,O
rate,O
home,O
?,O
,
I,O
have,O
never,O
had,O
cheescake,T-POS
like,O
this,O
.,O
,
I,O
thought,O
I,O
had,O
died,O
and,O
gone,O
to,O
heaven,O
.,O
,
Great,O
spot,T-POS
",",O
whether,O
looking,O
for,O
a,O
couple,O
of,O
drinks,O
or,O
quiet,O
dinner,O
.,O
,
Warm,O
and,O
friendly,O
in,O
the,O
winter,O
and,O
terrific,O
outdoor,T-POS
seating,T-POS
in,O
the,O
warmer,O
months,O
.,O
,
The,O
food,T-POS
is,O
great,O
and,O
they,O
have,O
a,O
good,O
selecion,T-POS
of,T-POS
wines,T-POS
at,O
reasonable,O
prices,O
.,O
,
Have,O
been,O
several,O
times,O
and,O
it,O
never,O
dissapoints,O
.,O
,
After,O
hearing,O
a,O
lot,O
of,O
great,O
things,O
about,O
the,O
restaurant,O
",",O
and,O
passing,O
by,O
it,O
on,O
a,O
daily,O
basis,O
",",O
we,O
decided,O
to,O
try,O
.,O
,
We,O
were,O
less,O
than,O
impressed,O
.,O
,
While,O
the,O
ambiance,T-POS
and,O
atmosphere,T-POS
were,O
great,O
",",O
the,O
food,T-NEG
and,O
service,T-NEG
could,O
have,O
been,O
a,O
lot,O
better,O
.,O
,
We,O
ordered,O
the,O
chicken,T-NEG
casserole,T-NEG
",",O
but,O
what,O
we,O
got,O
were,O
a,O
few,O
small,O
pieces,O
of,O
chicken,O
",",O
all,O
dark,O
meat,O
and,O
on,O
the,O
bone,O
.,O
,
Probably,O
would,O
not,O
go,O
again,O
.,O
,
i,O
've,O
been,O
to,O
sapphire,O
twice,O
and,O
both,O
times,O
the,O
food,T-POS
was,O
fine,O
",",O
if,O
not,O
good,O
.,O
,
stick,O
with,O
the,O
chicken,T-POS
",",O
beef,T-POS
",",O
and,O
lamb,T-POS
dishes,T-POS
.,O
,
i,O
do,O
n't,O
usually,O
order,O
wine,O
with,O
indian,O
so,O
i,O
ca,O
n't,O
comment,O
on,O
their,O
wine,O
list,O
or,O
their,O
wines,O
.,O
,
instead,O
ordered,O
an,O
ice,O
cold,O
beer,O
which,O
to,O
me,O
works,O
with,O
indian,O
.,O
,
service,T-POS
is,O
friendly,O
",",O
and,O
never,O
had,O
a,O
problem,O
walking,O
in,O
and,O
getting,O
a,O
table,O
.,O
,
i,O
would,O
recommend,O
reservations,O
on,O
weekends,O
though,O
.,O
,
skip,O
dessert,T-NEG
.,O
,
Best,O
Reuben,T-POS
sandwich,T-POS
ever,O
!,O
,
A,O
classic,O
!,O
,
Do,O
n't,O
miss,O
Bloom's,T-POS
on,O
your,O
next,O
trip,O
to,O
Manhatten,O
.,O
,
It,O
was,O
the,O
first,O
place,T-POS
we,O
ate,O
on,O
our,O
first,O
trip,O
to,O
New,O
York,O
",",O
and,O
it,O
will,O
be,O
the,O
last,O
place,T-POS
we,O
stop,O
as,O
we,O
head,O
out,O
of,O
town,O
on,O
our,O
next,O
trip,O
to,O
New,O
York,O
.,O
,
Thanks,O
Bloom's,T-POS
for,O
a,O
lovely,O
trip,O
.,O
,
As,O
a,O
fan,O
of,O
Thai,O
",",O
I,O
have,O
tried,O
quite,O
a,O
few,O
different,O
restaurants,O
in,O
NYC,O
and,O
this,O
one,O
was,O
definitely,O
the,O
worst,O
.,O
,
The,O
food,T-NEG
was,O
not,O
fresh,O
",",O
the,O
sauces,T-NEG
were,O
bland,O
and,O
very,O
oily,O
.,O
,
It,O
just,O
was,O
n't,O
Thai,O
.,O
,
Went,O
to,O
Ottimo,O
and,O
was,O
expecting,O
outstanding,O
pizza,O
as,O
I,O
love,O
La,O
Pizza,O
Fresca,O
.,O
,
Was,O
surprisingly,O
disappointed,O
.,O
,
Pizza,T-NEG
was,O
a,O
little,O
soggy,O
.,O
,
Not,O
enough,O
wines,T-NEG
by,T-NEG
the,T-NEG
glass,T-NEG
either,O
.,O
,
Service,T-POS
",",O
however,O
",",O
was,O
excellentand,O
I,O
liked,O
the,O
setting/atmosphere,T-POS
a,O
lot,O
.,O
,
Food,T-NEU
was,O
just,O
averageif,O
they,O
lowered,O
the,O
prices,O
just,O
a,O
bit,O
",",O
it,O
would,O
be,O
a,O
bigger,O
draw,O
.,O
,
This,O
place,T-POS
is,O
a,O
great,O
bargain,O
.,O
,
Authentic,O
Pakistani,T-POS
food,T-POS
.,O
,
People,T-POS
are,O
always,O
friendly,O
.,O
,
Do,O
n't,O
waste,O
money,O
on,O
decor,T-NEU
.,O
,
Just,O
straight,O
up,O
cheap,O
",",O
good,O
food,T-POS
.,O
,
The,O
best,O
pad,T-POS
thai,T-POS
i,O
've,O
ever,O
had,O
.,O
,
The,O
design,T-POS
and,O
atmosphere,T-POS
is,O
just,O
as,O
good,O
.,O
,
What,O
more,O
could,O
you,O
want,O
?,O
,
The,O
food,T-NEG
was,O
actually,O
aweful,O
.,O
,
I,O
'm,O
not,O
picky,O
",",O
but,O
it,O
was,O
actually,O
gross,O
.,O
,
The,O
mussles,T-NEG
were,O
the,O
fishiest,O
things,O
I,O
've,O
ever,O
tasted,O
",",O
the,O
seabass,T-NEG
was,O
bland,O
",",O
the,O
goat,T-NEG
cheese,T-NEG
salad,T-NEG
was,O
missing,O
the,O
goat,O
cheese,O
",",O
the,O
penne,T-NEG
w/,T-NEG
chicken,T-NEG
had,O
bones,O
in,O
it,O
It,O
was,O
disgusting,O
.,O
,
Nice,O
atmosphere,T-POS
",",O
the,O
service,T-POS
was,O
very,O
pleasant,O
and,O
the,O
desert,T-POS
was,O
good,O
.,O
,
Would,O
n't,O
recomend,O
it,O
for,O
dinner,O
!,O
,
This,O
is,O
the,O
perfect,O
date,O
spot,O
for,O
Williamsburg,O
couples,O
.,O
,
The,O
jukebox,T-POS
plays,O
everything,O
from,O
Italian,O
Opera,O
to,O
The,O
Strokes,O
.,O
,
The,O
food,T-POS
is,O
amazing,O
",",O
rich,O
pastas,T-POS
and,O
fresh,O
doughy,O
pizza,T-POS
.,O
,
Best,O
of,O
all,O
is,O
the,O
warm,O
vibe,T-POS
",",O
the,O
owner,T-POS
is,O
super,O
friendly,O
and,O
service,T-POS
is,O
fast,O
.,O
,
If,O
only,O
they,O
delivered,O
",",O
they,O
'd,O
make,O
a,O
mint,O
!,O
,
go,O
here,O
for,O
the,O
drinks,T-POS
!,O
,
esp,O
during,O
happy,O
hour,O
!,O
.,O
,
enough,O
said,O
!,O
,
the,O
drinks,T-POS
are,O
amazing,O
and,O
half,O
off,O
till,O
8pm,O
.,O
,
Ask,O
for,O
Usha,T-POS
",",O
the,O
nicest,O
bartender,O
in,O
manhattan,O
.,O
,
My,O
fav,O
was,O
the,O
sassy,T-POS
lassi,T-POS
.,O
,
I,O
really,O
recommend,O
the,O
very,O
simple,O
Unda,T-POS
(Egg),T-POS
rolls,T-POS
.,O
,
Delicate,O
spices,T-POS
",",O
onions,T-POS
",",O
eggs,T-POS
and,O
a,O
kick-ass,O
roti,T-POS
.,O
,
Amazing,O
!,O
,
Toons,T-POS
has,O
recently,O
been,O
redone,O
",",O
so,O
it,O
's,O
now,O
a,O
very,O
attractive,O
space,O
.,O
,
In,O
an,O
area,O
sadly,O
lacking,O
in,O
decent,O
Thai,T-POS
food,T-POS
",",O
this,O
is,O
one,O
of,O
the,O
best,O
spots,O
.,O
,
Went,O
here,O
last,O
night,O
",",O
nice,O
decor,T-POS
",",O
good,O
service,T-POS
",",O
but,O
the,O
food,T-POS
was,O
surprisingly,O
excellent,O
.,O
,
The,O
portions,T-POS
are,O
HUGE,O
",",O
so,O
it,O
might,O
be,O
good,O
to,O
order,O
three,O
things,O
to,O
split,O
rather,O
than,O
one,O
appetizer,O
and,O
entree,O
per,O
person,O
for,O
two,O
people,O
.,O
,
Among,O
all,O
of,O
the,O
new,O
5th,O
avenue,O
restaurants,O
",",O
this,O
offers,O
by,O
far,O
one,O
of,O
the,O
best,O
values,O
for,O
your,O
money,O
.,O
,
Ca,O
n't,O
wait,O
to,O
go,O
back,O
.,O
,
Best,O
drumsticks,T-POS
over,T-POS
rice,T-POS
and,O
sour,T-POS
spicy,T-POS
soup,T-POS
in,O
town,O
!,O
,
Beef,T-POS
noodle,T-POS
soup,T-POS
is,O
good,O
as,O
well,O
.,O
,
The,O
service,T-POS
is,O
good,O
and,O
the,O
resturant,T-POS
is,O
clean,O
.,O
,
Best,O
Taiwanese,T-POS
food,T-POS
in,O
NY,O
!,O
,
I,O
have,O
been,O
to,O
Rao's,T-POS
probably,O
15,O
times,O
the,O
past,O
3,O
years,O
and,O
it,O
keeps,O
getting,O
better,O
.,O
,
For,O
those,O
that,O
go,O
once,O
and,O
do,O
n't,O
enjoy,O
it,O
",",O
all,O
I,O
can,O
say,O
is,O
that,O
they,O
just,O
do,O
n't,O
get,O
it,O
.,O
,
Rao,O
's,O
has,O
the,O
best,O
service,T-POS
and,O
atmosphere,T-POS
in,O
NYC,O
.,O
,
Good,O
luck,O
getting,O
a,O
table,O
.,O
,
My,O
roommate,O
and,O
I,O
LOVE,O
this,O
place,T-POS
.,O
,
We,O
recently,O
decided,O
to,O
try,O
this,O
location,O
",",O
and,O
to,O
our,O
delight,O
",",O
they,O
have,O
outdoor,T-POS
seating,T-POS
",",O
perfect,O
since,O
I,O
had,O
my,O
yorkie,O
with,O
me,O
.,O
,
Indoor,T-POS
was,O
very,O
cozy,O
and,O
cute,O
.,O
,
The,O
portion,T-POS
sizes,O
here,O
are,O
huge,O
",",O
and,O
the,O
sushi,T-POS
is,O
good,O
.,O
,
While,O
it,O
's,O
not,O
Nobu,O
",",O
it,O
sure,O
is,O
a,O
great,O
deal,O
and,O
you,O
definitely,O
will,O
leave,O
feeling,O
satisfied,O
and,O
full,O
.,O
,
Staff,T-POS
is,O
very,O
accomodating,O
.,O
,
I,O
got,O
the,O
$10,T-POS
10-piece,T-POS
dim,T-POS
sum,T-POS
combo,T-POS
",",O
every,O
bite,O
of,O
which,O
was,O
great,O
.,O
,
But,O
$,O
1,O
for,O
each,O
small,O
piece,O
?,O
?,O
?,O
,
Not,O
worth,O
it,O
.,O
,
I,O
came,O
here,O
with,O
my,O
boyfriend,O
for,O
our,O
anniversary,O
because,O
it,O
was,O
highly,O
recommended,O
to,O
him,O
by,O
a,O
friend,O
.,O
,
The,O
decor,T-POS
is,O
very,O
simple,O
but,O
comfortable,O
.,O
,
The,O
food,T-POS
was,O
delicious,O
but,O
do,O
not,O
come,O
here,O
on,O
a,O
empty,O
stomach,O
.,O
,
You,O
must,O
have,O
the,O
crabmeat,T-POS
lasagna,T-POS
which,O
is,O
out,O
of,O
this,O
world,O
and,O
the,O
chocolate,T-POS
bread,T-POS
pudding,T-POS
for,O
dessert,O
.,O
,
The,O
staff,T-POS
there,O
is,O
very,O
attentive,O
and,O
down,O
to,O
earth,O
.,O
,
I,O
loved,O
it,O
and,O
would,O
go,O
again,O
.,O
,
Great,O
Indian,T-POS
food,T-POS
and,O
the,O
service,T-POS
is,O
incredible,O
.,O
,
The,O
owner,T-POS
truly,O
caters,O
to,O
all,O
your,O
needs,O
.,O
,
When,O
family,O
came,O
in,O
he,O
gave,O
them,O
apps,O
to,O
test,O
their,O
palets,O
",",O
and,O
then,O
ordered,O
for,O
them,O
.,O
,
Everyone,O
was,O
more,O
then,O
happy,O
with,O
his,O
choices,O
.,O
,
Great,O
food,T-POS
and,O
the,O
prices,O
are,O
very,O
reasonable,O
.,O
,
Obviously,O
the,O
Chinese,O
translation,O
of,O
this,O
place,O
does,O
not,O
mean,O
Big,O
Wong,O
",",O
it,O
actually,O
means,O
Great,O
Prosperity,O
.,O
,
The,O
food,T-POS
here,O
does,O
a,O
great,O
service,O
to,O
the,O
name,O
Cantonese,O
that,O
is,O
.,O
,
I,O
fell,O
in,O
love,O
with,O
the,O
egg,T-POS
noodles,T-POS
in,T-POS
the,T-POS
beef,T-POS
broth,T-POS
with,T-POS
shrimp,T-POS
dumplings,T-POS
and,T-POS
slices,T-POS
of,T-POS
BBQ,T-POS
roast,T-POS
pork,T-POS
.,O
,
This,O
dish,T-POS
is,O
my,O
favorite,O
and,O
I,O
always,O
get,O
it,O
when,O
I,O
go,O
there,O
and,O
never,O
get,O
tired,O
of,O
it,O
.,O
,
Try,O
the,O
congee,T-POS
and,O
the,O
donut,O
like,O
deep,O
fried,O
dough,O
they,O
call,O
Ow,T-POS
Ley,T-POS
Soh,T-POS
",",O
a,O
delicious,O
and,O
sweet,O
tasting,O
bread,O
.,O
,
Simply,O
some,O
good,O
tasting,O
Chinese,T-POS
food,T-POS
at,O
incredible,O
prices,O
.,O
,
Just,O
make,O
sure,O
my,O
ice,O
water,O
is,O
kept,O
full,O
and,O
my,O
tea,O
kettle,O
filled,O
with,O
piping,O
hot,O
tea,O
and,O
that,O
's,O
all,O
the,O
service,O
I,O
need,O
.,O
,
Big,T-POS
Wong,T-POS
is,O
a,O
great,O
place,O
to,O
eat,O
and,O
fill,O
your,O
stomach,O
.,O
,
this,O
place,O
we,O
stumbled,O
upon,O
it,O
on,O
labor,O
day,O
weekend,O
.,O
,
whoever,O
the,O
jazz,T-POS
duo,T-POS
was,O
",",O
they,O
were,O
on,O
POINT,O
.,O
,
good,O
music,T-POS
",",O
great,O
food,T-POS
",",O
speedy,O
service,T-POS
affordable,O
prices,O
.,O
,
even,O
the,O
wine,T-POS
by,T-POS
the,T-POS
glass,T-POS
was,O
good,O
.,O
,
its,O
a,O
little,O
out,O
of,O
the,O
way,O
if,O
you,O
do,O
n't,O
live,O
in,O
the,O
neighborhood,O
",",O
but,O
definitely,O
worth,O
the,O
trip,O
from,O
wherever,O
you,O
are,O
.,O
,
Consistently,O
good,O
Japanese,T-POS
Tapas,T-POS
.,O
,
Same,O
owner,O
as,O
the,O
guy,O
who,O
owns,O
Typhoon,O
",",O
which,O
is,O
just,O
down,O
the,O
street,O
on,O
St,O
Marks,O
and,O
1st,O
Ave,O
.,O
,
Always,O
good,O
drinks,T-POS
and,O
service,T-POS
is,O
pretty,O
good,O
;,O
,
Atmosphere,T-POS
is,O
nice,O
and,O
relaxed,O
too,O
.,O
,
A,O
great,O
place,T-POS
to,O
meet,O
up,O
for,O
some,O
food,O
and,O
drinks,O
.,O
,
Yakitori,T-POS
(bbq,T-POS
meats),T-POS
is,O
tasty,O
too,O
.,O
,
It,O
's,O
also,O
attached,O
to,O
Angel,O
's,O
Share,O
",",O
which,O
is,O
a,O
cool,O
",",O
more,O
romantic,O
bar,O
.,O
,
Just,O
moved,O
to,O
the,O
neighborhood,O
and,O
we,O
've,O
been,O
trying,O
all,O
the,O
West,O
Village,O
Sushi,O
restaurants,O
.,O
,
If,O
you,O
do,O
n't,O
mind,O
pre-sliced,O
low,O
quality,O
fish,T-NEG
",",O
unfriendly,O
staff,T-NEG
and,O
a,O
sushi,T-NEG
chef,T-NEG
that,O
looks,O
like,O
he,O
is,O
miserable,O
then,O
this,O
is,O
your,O
place,O
.,O
,
Price,O
and,O
quality,O
of,O
fish,T-NEG
alone,O
will,O
keep,O
us,O
from,O
making,O
a,O
return,O
visit,O
.,O
,
Was,O
n't,O
going,O
to,O
share,O
but,O
I,O
feel,O
obligatedwhile,O
sitting,O
at,O
the,O
sushi,O
bar,O
dining,O
we,O
watched,O
the,O
chef,T-NEG
accidentally,O
drop,O
a,O
piece,O
of,O
Unagi,O
on,O
the,O
floor,O
and,O
upon,O
retrieving,O
it,O
from,O
the,O
floor,O
proceed,O
to,O
use,O
the,O
piece,O
in,O
the,O
delivery,O
order,O
he,O
was,O
preparing,O
.,O
,
This,O
place,T-POS
",",O
which,O
is,O
only,O
a,O
few,O
months,O
old,O
",",O
is,O
perhaps,O
Queens,O
biggest,O
secret,O
!,O
,
Fabulous,O
decor,T-POS
",",O
makes,O
you,O
feel,O
like,O
you,O
're,O
in,O
a,O
trendy,O
Manhattan,O
restaurant,O
",",O
very,O
very,O
good,O
food,T-POS
",",O
cheaply-priced,O
",",O
generally,O
friendly,O
staff,T-POS
",",O
and,O
if,O
you,O
're,O
a,O
Manhattanite,O
",",O
or,O
spend,O
most,O
of,O
your,O
time,O
in,O
Manhattan,O
",",O
Rice,T-POS
Avenue,T-POS
will,O
make,O
you,O
feel,O
at,O
homevery,O
Soho/Village/Upper,O
West,O
Side,O
minus,O
the,O
expensive,O
prices,O
and,O
pretentious,O
clienteleall,O
on,O
Roosevelt,O
Avenue,O
!,O
.,O
,
We,O
were,O
seated,O
outside,O
and,O
the,O
waiter,T-NEG
spilled,O
red,O
wine,O
and,O
hot,O
tea,O
on,O
myself,O
and,O
my,O
date,O
.,O
,
We,O
were,O
then,O
shooed,O
inside,O
.,O
,
One,O
would,O
think,O
we,O
'd,O
get,O
an,O
apology,O
or,O
complimentary,O
drinks,O
",",O
instead,O
",",O
we,O
got,O
a,O
snobby,O
waiter,T-NEG
would,O
n't,O
even,O
take,O
our,O
order,O
for,O
15,O
minutes,O
and,O
gave,O
us,O
lip,O
when,O
we,O
asked,O
him,O
to,O
do,O
so,O
.,O
,
We,O
left,O
",",O
never,O
to,O
return,O
.,O
,
With,O
so,O
many,O
good,O
restaurants,O
on,O
the,O
UWS,O
",",O
I,O
do,O
n't,O
need,O
overpriced,O
food,T-NEG
",",O
absurdly,O
arrogant,O
wait-staff,T-NEG
who,O
do,O
n't,O
recognize,O
they,O
work,O
at,O
a,O
glorified,O
diner,O
",",O
clumsy,O
service,T-NEG
",",O
and,O
management,T-NEG
that,O
does,O
n't,O
care,O
.,O
,
I,O
am,O
relatively,O
new,O
to,O
the,O
area,O
and,O
tried,O
Pick,O
a,O
bgel,O
on,O
2nd,O
and,O
was,O
disappointed,O
with,O
the,O
service,T-NEG
and,O
I,O
thought,O
the,O
food,T-NEG
was,O
overated,O
and,O
on,O
the,O
pricey,O
side,O
.,O
,
If,O
you,O
are,O
in,O
the,O
area,O
try,O
The,O
Bagel,O
Shoppe,O
on,O
74th,O
street,O
which,O
is,O
3,O
blocks,O
away,O
on,O
2nd,O
Ave,O
.,O
,
Great,O
bagels,O
",",O
spreads,O
and,O
a,O
good,O
place,O
to,O
hang,O
out,O
in,O
.,O
,
You,O
fellas,O
above,O
says,O
its,O
the,O
best,O
Taiwanese,O
restaurant,O
in,O
town,O
.,O
,
However,O
it,O
is,O
the,O
ONLY,O
Taiwanese,O
restaurant,O
in,O
town,O
.,O
,
The,O
food,T-NEU
is,O
okay,O
and,O
the,O
prices,O
here,O
are,O
mediocre,O
.,O
,
You,O
ca,O
n't,O
say,O
its,O
cheap,O
because,O
food,O
is,O
cheaper,O
in,O
Chinatown,O
.,O
,
They,O
're,O
are,O
better,O
Taiwanese,O
restaurants,O
and,O
they,O
are,O
located,O
in,O
Flushing,O
",",O
Queens,O
.,O
,
Baluchi's,T-POS
has,O
solid,O
food,T-POS
and,O
a,O
nice,O
decor,T-POS
at,O
reasonable,O
prices,O
.,O
,
He,O
offers,O
subpar,O
service,T-NEG
and,O
has,O
no,O
personality,O
.,O
,
In,O
fact,O
",",O
it,O
appears,O
he,O
is,O
going,O
to,O
go,O
postal,O
at,O
any,O
moment,O
.,O
,
Skip,O
this,O
location,O
and,O
go,O
to,O
the,O
one,O
in,O
Soho,O
.,O
,
There,O
is,O
no,O
excuse,O
for,O
such,O
lousy,O
service,T-NEG
!,O
,
I,O
have,O
never,O
before,O
eaten,O
40,O
pieces,O
of,O
relatively,O
good,O
nigiri,T-NEU
.,O
,
Stuffing,O
yourself,O
with,O
Japanese,O
food,O
is,O
a,O
rare,O
thing,O
.,O
,
You,O
can,O
do,O
it,O
here,O
.,O
,
$,O
20,O
for,O
all,T-POS
you,T-POS
can,T-POS
eat,T-POS
sushi,T-POS
can,O
not,O
be,O
beaten,O
.,O
,
I,O
went,O
to,O
Areo,T-POS
on,O
a,O
Sunday,O
afternoon,O
with,O
four,O
of,O
my,O
girlfriends,O
",",O
and,O
spent,O
three,O
enjoyable,O
hours,O
there,O
.,O
,
The,O
restaurant,O
was,O
packed,O
at,O
first,O
",",O
so,O
we,O
waited,O
at,O
the,O
bar,O
for,O
about,O
20,O
minutes,O
before,O
we,O
were,O
seated,O
.,O
,
Most,O
of,O
the,O
servers,T-POS
are,O
very,O
attentive,O
",",O
friendly,O
and,O
quite,O
attractive,O
.,O
,
The,O
atmosphere,O
was,O
mostly,O
of,O
an,O
older,O
crowd,O
",",O
but,O
there,O
were,O
a,O
few,O
groups,O
of,O
mid,O
20's/30,O
year,O
olds,O
also,O
.,O
,
The,O
vibe,T-POS
is,O
very,O
relaxed,O
and,O
cozy,O
",",O
service,T-POS
was,O
great,O
and,O
the,O
food,T-POS
was,O
excellent,O
!,O
,
Me,O
and,O
my,O
girls,O
will,O
definitely,O
go,O
back,O
.,O
,
Food,T-POS
was,O
good,O
and,O
the,O
view,T-POS
of,T-POS
the,T-POS
new,T-POS
york,T-POS
city,T-POS
skiline,T-POS
was,O
terrific,O
even,O
on,O
a,O
foggy,O
rainy,O
day,O
like,O
that,O
of,O
when,O
I,O
went,O
.,O
,
I,O
would,O
highly,O
recommand,O
requesting,O
a,O
table,O
by,O
the,O
window,O
.,O
,
Although,O
they,O
do,O
the,O
typical,O
what,O
kind,O
of,O
water,O
would,O
you,O
like,O
questions,O
the,O
service,T-POS
was,O
good,O
and,O
overall,O
very,O
relaxing,O
to,O
place,T-POS
to,O
eat,O
.,O
,
I,O
've,O
eaten,O
at,O
Pizza,O
Gruppo,O
a,O
few,O
times,O
",",O
but,O
more,O
often,O
I,O
order,O
delivery,O
.,O
,
The,O
food,T-POS
is,O
great,O
.,O
,
Personal,T-POS
pans,T-POS
are,O
the,O
perfect,O
size,O
for,O
those,O
hungry,O
nights,O
.,O
,
I,O
heartily,O
recommend,O
.,O
,
There,O
is,O
a,O
downside,O
if,O
you,O
're,O
ordering,O
in,O
-,O
the,O
delivery,T-NEG
guys,T-NEG
have,O
MAJOR,O
attitude,O
.,O
,
Never,O
have,O
I,O
had,O
such,O
dramatic,O
delivery,T-NEG
guys,T-NEG
a,O
lot,O
of,O
huffing,O
and,O
panting,O
and,O
muttering,O
under,O
breath,O
b/c,O
I,O
live,O
in,O
a,O
walkup,O
who,O
always,O
seem,O
disappointed,O
with,O
their,O
tips,O
.,O
,
Love,O
the,O
scene,T-POS
first,O
off,O
the,O
place,T-POS
has,O
a,O
character,O
and,O
nice,O
light,O
to,O
itvery,O
fortunate,O
",",O
location,T-POS
wise,O
.,O
,
The,O
pizza,T-POS
was,O
pretty,O
good,O
and,O
huge,O
.,O
,
The,O
price,O
very,O
reasonable,O
.,O
,
We,O
were,O
4,O
and,O
got,O
the,O
family,O
size,O
penne,T-POS
a,T-POS
la,T-POS
vodka,T-POS
which,O
was,O
tremendously,O
gigantic,O
portiona,O
bucket,O
of,O
food,O
literally,O
.,O
,
We,O
got,O
most,O
of,O
it,O
back,O
at,O
home,O
with,O
us,O
.,O
,
I,O
would,O
say,O
that,O
all,O
was,O
fine,O
and,O
tasty,O
but,O
the,O
heaviness,O
on,O
my,O
stomach,O
someting,O
that,O
i,O
ca,O
n't,O
not,O
mention,O
or,O
undermine,O
.,O
,
The,O
pasta,T-NEG
penne,T-NEG
was,O
pretty,O
extra,O
buttery,O
",",O
creamy,O
which,O
means,O
a,O
big,O
task,O
to,O
diggest,O
tasty,O
at,O
first,O
but,O
i,O
would,O
say,O
that,O
i,O
was,O
full,O
with,O
a,O
slice,O
of,O
pizza,O
and,O
7,O
to,O
count,O
",",O
pennegot,O
a,O
little,O
moody,O
afterwards,O
cause,O
was,O
stuffedlol,O
.,O
,
No,O
",",O
really,O
.,O
,
I,O
have,O
eaten,O
a,O
lot,O
of,O
pizza,O
here,O
.,O
,
La,T-POS
Rosa,T-POS
waltzes,O
in,O
",",O
and,O
I,O
think,O
they,O
are,O
doing,O
it,O
the,O
best,O
.,O
,
Interesting,O
selection,T-POS
",",O
good,O
wines,T-POS
",",O
service,T-POS
fine,O
",",O
fun,O
decor,T-POS
.,O
,
I,O
have,O
